time_seconds,position_cm,mass,paddle,trial
3.1,13.9574,150,small,1
3.1333,13.7514,150,small,1
3.1667,13.5438,150,small,1
3.2,13.0253,150,small,1
3.2333,12.4431,150,small,1
3.2667,11.9937,150,small,1
3.3,11.5035,150,small,1
3.3333,11.1655,150,small,1
3.3667,10.7743,150,small,1
3.4,10.4724,150,small,1
3.4333,10.4082,150,small,1
3.4667,10.2781,150,small,1
3.5,10.4141,150,small,1
3.5333,10.6556,150,small,1
3.5667,11.0721,150,small,1
3.6,11.318,150,small,1
3.6333,11.7118,150,small,1
3.6667,12.0769,150,small,1
3.7,12.612,150,small,1
3.7333,12.8544,150,small,1
3.7667,13.1974,150,small,1
3.8,13.1932,150,small,1
3.8333,13.501,150,small,1
3.8667,13.2779,150,small,1
